province,district,one_aye,one_aye100,one_nay,one_nay100,two_aye,two_aye100,two_nay,two_nay100
สมุทรสาคร,ผลรวม,"152,465",72.05,"59,159",27.95,"140,901",68.83,"63,806",31.17
สระแก้ว,ผลรวม,"156,955",71.16,"63,617",28.84,"140,689",67.69,"67,155",32.31
สระบุรี,ผลรวม,"91,835",70.2,"38,986",29.8,"84,237",67.17,"41,174",32.83
สมุทรปราการ,ผลรวม,"318,571",65.5,"167,798",34.5,"294,355",62.15,"179,280",37.85
สมุทรสงคราม,ผลรวม,"62,948",77.4,"18,385",22.6,"57,810",74.1,"20,210",25.9
สมุทรสาคร,ผลรวม,"152,465",72.05,"59,159",27.95,"140,901",68.83,"63,806",31.17
สระแก้ว,ผลรวม,"156,955",71.16,"63,617",28.84,"140,689",67.69,"67,155",32.31
สระบุรี,ผลรวม,"193,686",67.27,"94,224",32.73,"176,085",64.42,"97,241",35.58
สิงห์บุรี,ผลรวม,"56,446",58.62,"39,840",41.38,"50,510",55.59,"40,359",44.41
สุโขทัย,ผลรวม,"188,608",70.25,"79,858",29.75,"166,417",66.32,"84,515",33.68
สุพรรณบุรี,ผลรวม,"223,114",60.81,"143,798",39.19,"198,547",57.47,"146,937",42.53
สุราษฎร์ธานี,ผลรวม,"193,686",67.27,"94,224",32.73,"176,085",64.42,"97,241",35.58
สิงห์บุรี,ผลรวม,"56,446",58.62,"39,840",41.38,"50,510",55.59,"40,359",44.41
สุโขทัย,ผลรวม,"188,608",70.25,"79,858",29.75,"166,417",66.32,"84,515",33.68
สุพรรณบุรี,ผลรวม,"223,114",60.81,"143,798",39.19,"198,547",57.47,"146,937",42.53
สุราษฎร์ธานี,ผลรวม,"377,628",87.29,"54,980",12.71,"352,558",84.22,"66,048",15.78
สุรินทร์,ผลรวม,"259,668",49.22,"267,917",50.78,"225,364",45.09,"274,411",54.91
หนองคาย,ผลรวม,"86,557",44.29,"108,874",55.71,"74,924",40.96,"108,005",59.04
หนองบัวลำภู,ผลรวม,"77,167",39.75,"116,958",60.25,"66,883",36.7,"115,350",63.3
อ่างทอง,ผลรวม,"70,958",58.84,"49,641",41.16,"63,378",55.74,"50,328",44.26
อำนาจเจริญ,ผลรวม,"87,314",54.69,"72,346",45.31,"74,976",49.88,"75,344",50.12
อุดรธานี,ผลรวม,"248,092",40.66,"362,063",59.34,"215,084",37.51,"358,338",62.49
อุตรดิตถ์,ผลรวม,"124,356",60.27,"81,982",39.73,"108,946",56.65,"83,360",43.35
อุทัยธานี,ผลรวม,"106,884",74.74,"36,123",25.26,"96,096",71.32,"38,648",28.68
อุบลราชธานี,ผลรวม,"413,901",54.77,"341,848",45.23,"353,493",49.83,"355,885",50.17
