จงหวด,อําเภอ/เขต,ประเดนท ่1 รํางรฐธรรมนูญ,ประเดนท ่2 คําถํามเพ่ิมเตม,,,,,,
,,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ
,ทองผาภม,"10,199",70.2,"4,330",29.8,"8,984",66.1,"4,607",33.9
,ทามวง,"33,420",70.44,"14,025",29.56,"30,145",66.38,"15,266",33.62
,ทามะกา,"39,967",68.98,"17,971",31.02,"35,997",65.85,"18,668",34.15
,ไทรโยค,"13,236",70.7,"5,486",29.3,"11,896",66.62,"5,961",33.38
,บอพลอย,"14,929",68.12,"6,987",31.88,"13,345",64.41,"7,374",35.59
,พนมทวน,"15,481",63.19,"9,018",36.81,"13,656",58.95,"9,508",41.05
,เมองกาญจนบรี,"48,946",73.67,"17,492",26.33,"44,786",69.85,"19,330",30.15
,เลาขวญั,"12,843",55.82,"10,164",44.18,"11,105",52.24,"10,151",47.76
,ศรีสวสัด์ิ,"7,045",73.7,"2,514",26.3,"6,403",70.53,"2,675",29.47
,สังขละบรี,"5,007",72.19,"1,929",27.81,"4,491",68.6,"2,056",31.4
,หนองปรือ,"7,214",64.27,"4,011",35.73,"6,357",60.75,"4,108",39.25
,หวยกระเจา,"8,801",64.12,"4,924",35.88,"7,591",59.27,"5,216",40.73
,นอกเขตจงหวดั กาญจนบรี,833,68.11,390,31.89,771,63.2,449,36.8
กําญจนบร ผลรวม,"226,825",68.71,"103,288",31.29,"203,496",64.98,"109,683",35.02,
กาฬสินธ,กมลาไสย,"9,767",32.38,"20,397",67.62,"8,263",29.11,"20,120",70.89
กฉนารายณ์,"18,440",44.87,"22,656",55.13,"15,365",40.43,"22,639",59.57,
จงหวด,อําเภอ/เขต,ประเดนท ่1 รํางรฐธรรมนูญ,ประเดนท ่2 คําถํามเพ่ิมเตม,,,,,,
,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,
,เขาวง,"6,563",42.8,"8,770",57.2,"5,460",38.23,"8,823",61.77
,คามวง,"9,798",48.29,"10,494",51.71,"7,885",41.52,"11,105",58.48
,ฆองชย,"3,592",30.94,"8,017",69.06,"2,981",27.24,"7,963",72.76
,ดอนจาน,"4,965",46.22,"5,776",53.78,"4,029",41.06,"5,783",58.94
,ทาคันโท,"6,941",47,"7,826",53,"5,843",43.6,"7,557",56.4
,นาคู,"5,549",41.51,"7,820",58.49,"4,671",37.72,"7,712",62.28
,นามน,"5,630",42.08,"7,750",57.92,"5,063",39.86,"7,640",60.14
,เมองกาฬสินธ,"29,677",48.52,"31,483",51.48,"25,320",44.62,"31,430",55.38
,ยางตลาด,"20,715",40.85,"29,996",59.15,"17,670",37.51,"29,432",62.49
,ร่องคา,"2,314",33.67,"4,558",66.33,"1,958",30.38,"4,488",69.62
,สมเด็จ,"13,025",52.36,"11,852",47.64,"10,877",47.56,"11,993",52.44
,สหสขนธ,"8,103",48.73,"8,525",51.27,"6,857",43.61,"8,867",56.39
,สามชย,"5,685",50.69,"5,531",49.31,"4,773",45.14,"5,801",54.86
,หนองกงศรี,"14,748",56.33,"11,432",43.67,"12,531",51.63,"11,742",48.37
,หวยผ้ึง,"4,810",42.51,"6,504",57.49,"4,079",39.01,"6,377",60.99
,หวยเมก,"9,888",47.8,"10,800",52.2,"8,205",43.02,"10,866",56.98
,นอกเขตจงหวดั กาฬสินธ,255,66.23,130,33.77,217,57.11,163,42.89
กําฬสนธ ผลรวม,"180,465",45.03,"220,317",54.97,"152,047",40.81,"220,501",59.19,
กาแพงเพชร,โกสัมพนคร,"9,232",78.93,"2,464",21.07,"8,316",75.94,"2,635",24.06
,ขาณุวรลักษบรี,"31,469",72.24,"12,092",27.76,"28,397",68.98,"12,768",31.02
,คลองขลุง,"19,183",65.18,"10,249",34.82,"17,083",60.99,"10,928",39.01
,คลองลาน,"16,332",69.84,"7,052",30.16,"14,280",66.59,"7,164",33.41
,ทรายทองวฒันา,"5,342",57.47,"3,953",42.53,"4,638",53.54,"4,025",46.46
,ไทรงาม,"12,714",61.66,"7,907",38.34,"11,200",58,"8,110",42
,บงสามคคี,"6,363",57.88,"4,630",42.12,"5,501",53.21,"4,838",46.79
,ปางศิลาทอง,"8,166",69.53,"3,578",30.47,"7,126",64.95,"3,846",35.05
,พรานกระต่าย,"26,483",79.85,"6,683",20.15,"23,555",75.48,"7,651",24.52
,เมองกาแพงเพชร,"68,199",75.65,"21,949",24.35,"61,606",72.58,"23,278",27.42
