จงหวด,อําเภอ/เขต,ประเดนท ่1 รํางรฐธรรมนูญ,ประเดนท ่2 คําถํามเพ่ิมเตม,,,,,,
,,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ
,หวยยอด,"37,133",86.41,"5,841",13.59,"34,656",83.69,"6,755",16.31
,หาดสาราญ,"5,641",82.29,"1,214",17.71,"5,198",80.27,"1,278",19.73
,นอกเขตจงหวดั ตรัง,551,85.03,97,14.97,508,78.03,143,21.97
ตรง ผลรวม,"250,644",86.19,"40,170",13.81,"233,949",83.54,"46,080",16.46,
ตราด,เกาะกด,794,78.85,213,21.15,744,74.77,251,25.23
,เกาะชาง,"2,003",73.61,718,26.39,"1,834",69.1,820,30.9
,เขาสมง,"15,853",82.71,"3,313",17.29,"14,491",78.89,"3,878",21.11
,คลองใหญ,"5,985",77.39,"1,749",22.61,"5,422",73.6,"1,945",26.4
,บอไร่,"8,832",74.07,"3,092",25.93,"7,866",70.19,"3,341",29.81
,เมองตราด,"31,373",80.4,"7,647",19.6,"28,886",76.91,"8,670",23.09
,แหลมงอบ,"6,620",79.61,"1,696",20.39,"6,100",76.58,"1,866",23.42
,นอกเขตจงหวดั ตราด,"1,009",73.6,362,26.4,902,66.32,458,33.68
ตรําด ผลรวม,"72,469",79.41,"18,790",20.59,"66,245",75.73,"21,229",24.27,
ตาก,ทาสองยาง,"12,535",60.42,"8,213",39.58,"10,354",57.6,"7,623",42.4
บานตาก,"14,506",73.58,"5,209",26.42,"12,947",69.97,"5,556",30.03,
จงหวด,อําเภอ/เขต,ประเดนท ่1 รํางรฐธรรมนูญ,ประเดนท ่2 คําถํามเพ่ิมเตม,,,,,,
,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,
,พบพระ,"14,712",70.76,"6,078",29.24,"12,729",67.11,"6,238",32.89
,เมองตาก,"37,762",76.94,"11,320",23.06,"34,255",73.42,"12,404",26.58
,แมระมาด,"15,529",70.59,"6,470",29.41,"13,329",66.96,"6,576",33.04
,แมสอด,"38,257",75.37,"12,499",24.63,"34,363",72.18,"13,246",27.82
,วงัเจา,"9,094",74.19,"3,164",25.81,"7,984",70.1,"3,406",29.9
,สามเงา,"9,776",74.21,"3,398",25.79,"8,757",71.26,"3,532",28.74
,อมผาง,"6,716",65.98,"3,463",34.02,"5,763",62.56,"3,449",37.44
,นอกเขตจงหวดั ตาก,"1,787",76.04,563,23.96,"1,604",69.56,702,30.44
ตําก ผลรวม,"160,674",72.69,"60,377",27.31,"142,085",69.37,"62,732",30.63,
นครนายก,บานนา,"20,621",71,"8,422",29,"18,488",67.7,"8,822",32.3
,ปากพลี,"7,515",69.7,"3,267",30.3,"6,723",66.47,"3,391",33.53
,เมองนครนายก,"31,610",73.43,"11,436",26.57,"28,687",70.39,"12,070",29.61
,องครักษ,"16,328",65.8,"8,488",34.2,"14,503",62.49,"8,704",37.51
,นอกเขตจงหวดั นครนายก,492,68.52,226,31.48,434,60.45,284,39.55
นครนํายก ผลรวม,"76,566",70.63,"31,839",29.37,"68,835",67.42,"33,271",32.58,
นครปฐม,กาแพงแสน,"35,419",62.37,"21,365",37.63,"31,977",59.14,"22,092",40.86
,ดอนตูม,"14,769",66.24,"7,527",33.76,"13,367",63.5,"7,682",36.5
,นครชยศรี,"35,811",70.39,"15,062",29.61,"32,755",67.24,"15,955",32.76
,บางเลน,"22,068",54.74,"18,248",45.26,"19,806",51.5,"18,654",48.5
,พทธมณฑล,"10,889",65.63,"5,703",34.37,"9,934",61.66,"6,178",38.34
,เมองนครปฐม,"91,729",75.33,"30,048",24.67,"84,554",72.23,"32,506",27.77
,สามพราน,"59,127",70.14,"25,167",29.86,"54,600",66.67,"27,302",33.33
,นอกเขตจงหวดั นครปฐม,"1,582",63.79,898,36.21,"1,407",57.48,"1,041",42.52
นครปฐม ผลรวม,"271,394",68.64,"124,018",31.36,"248,400",65.4,"131,410",34.6,
นครพนม,ทาอเทน,"10,923",46.7,"12,465",53.3,"9,076",42.06,"12,504",57.94
,ธาตุพนม,"15,452",46.31,"17,916",53.69,"13,347",42.22,"18,265",57.78
,นาแก,"15,637",46.98,"17,645",53.02,"13,016",41.22,"18,563",58.78
,นาทม,"4,132",45.18,"5,014",54.82,"3,352",39.9,"5,048",60.1
,นาหวา้,"12,509",58.61,"8,832",41.39,"9,664",48.45,"10,282",51.55
,บานแพง,"6,786",47.38,"7,537",52.62,"5,717",42.44,"7,753",57.56
,ปลาปาก,"9,620",44.9,"11,807",55.1,"7,819",39.15,"12,152",60.85
,โพนสวรรค์,"13,751",54.28,"11,581",45.72,"10,137",47.91,"11,023",52.09
,เมองนครพนม,"25,940",44.89,"31,843",55.11,"22,216",41.31,"31,565",58.69
,เรณูนคร,"7,095",36.08,"12,569",63.92,"5,991",32.46,"12,468",67.54
,วงัยาง,"3,166",48.39,"3,377",51.61,"2,616",44.39,"3,277",55.61
,ศรีสงคราม,"13,901",48.16,"14,963",51.84,"11,464",42.21,"15,695",57.79
,นอกเขตจงหวดั นครพนม,585,67.55,281,32.45,505,58.79,354,41.21
นครพนม ผลรวม,"139,497",47.23,"155,830",52.77,"114,920",41.96,"158,949",58.04,
นครราชสีมา,แกงสนามนาง,"7,410",50.92,"7,141",49.08,"6,242",47.3,"6,955",52.7
ขามทะเลสอ,"10,142",66.44,"5,122",33.56,"8,950",62.33,"5,409",37.67,
ขามสะแกแสง,"11,347",65.24,"6,047",34.76,"9,701",61.93,"5,964",38.07,
จงหวด,อําเภอ/เขต,ประเดนท ่1 รํางรฐธรรมนูญ,ประเดนท ่2 คําถํามเพ่ิมเตม,,,,,,
,,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ
,คง,"18,371",57.97,"13,322",42.03,"16,329",54.79,"13,474",45.21
ครบรี,"27,989",64.66,"15,299",35.34,"24,456",60.85,"15,734",39.15,
จกราช,"20,518",64.82,"11,135",35.18,"18,169",60.97,"11,633",39.03,
,เฉลิมพระเกยรติ,"13,027",69.29,"5,774",30.71,"11,667",65.93,"6,029",34.07
ชมพวง,"18,216",55.47,"14,626",44.53,"15,812",51.68,"14,784",48.32,
,โชคชย,"29,651",72.14,"11,453",27.86,"26,228",68.55,"12,033",31.45
,ด่านขนทด,"35,560",62.21,"21,600",37.79,"30,739",58.02,"22,237",41.98
เทพารักษ,"6,772",61.3,"4,275",38.7,"5,900",56.86,"4,477",43.14,
,โนนแดง,"5,425",55.06,"4,427",44.94,"4,721",51.05,"4,526",48.95
,โนนไทย,"24,288",71.34,"9,758",28.66,"21,431",66.37,"10,859",33.63
,โนนสูง,"38,385",69.59,"16,776",30.41,"33,986",65.74,"17,712",34.26
,บวลาย,"4,459",47.43,"4,943",52.57,"3,861",43.55,"5,005",56.45
,บวใหญ,"17,696",55.93,"13,942",44.07,"15,542",52.84,"13,869",47.16
,บานเหล่ือม,"4,243",50.72,"4,123",49.28,"3,578",46.23,"4,161",53.77
,ประทาย,"15,769",51.39,"14,913",48.61,"13,785",47.95,"14,961",52.05
,ปกธงชย,"36,070",65.73,"18,805",34.27,"31,904",62.22,"19,374",37.78
,ปากชอง,"50,172",65.14,"26,852",34.86,"45,444",62.01,"27,837",37.99
,พระทองคา,"11,115",67.08,"5,455",32.92,"9,671",62.75,"5,741",37.25
,พมาย,"38,213",66.97,"18,846",33.03,"33,884",63.21,"19,720",36.79
,เมองนครราชสีมา,"150,157",73.06,"55,356",26.94,"138,084",69.82,"59,685",30.18
,เมองยาง,"5,323",49.42,"5,449",50.58,"4,609",46.07,"5,396",53.93
,ลาทะเมนชย,"6,716",53.17,"5,916",46.83,"5,732",49.74,"5,791",50.26
,วงันาเขยว,"11,735",64.53,"6,451",35.47,"10,441",61.04,"6,665",38.96
,สีค้ิว,"29,091",60.45,"19,036",39.55,"25,676",56.98,"19,384",43.02
,สีดา,"4,232",45.33,"5,104",54.67,"3,673",41.86,"5,102",58.14
,สูงเนน,"24,308",63.1,"14,212",36.9,"21,375",59.5,"14,548",40.5
,เสิงสาง,"16,043",54.77,"13,250",45.23,"13,848",50.52,"13,564",49.48
,หนองบญมาก,"16,316",59.74,"10,996",40.26,"14,110",54.67,"11,701",45.33
,หวยแถลง,"18,739",60.93,"12,014",39.07,"16,317",56.94,"12,340",43.06
,นอกเขตจงหวดั นครราชสีมา,"3,487",65.42,"1,843",34.58,"3,187",60.06,"2,119",39.94
นครรําชสมํา ผลรวม,"730,985",64.39,"404,261",35.61,"649,052",60.78,"418,789",39.22,
นครศรีธรรมราช,ขนอม,"10,983",89.77,"1,251",10.23,"10,328",87.1,"1,530",12.9
จฬาภรณ์,"11,056",84.77,"1,986",15.23,"10,206",81.52,"2,313",18.48,
ฉวาง,"26,539",89.38,"3,152",10.62,"25,154",87.07,"3,735",12.93,
เฉลิมพระเกยรติ,"10,505",89.88,"1,183",10.12,"9,866",88.2,"1,320",11.8,
ชะอวด,"32,241",88.26,"4,290",11.74,"30,349",85.6,"5,107",14.4,
ชางกลาง,"10,659",87.96,"1,459",12.04,"10,098",85.8,"1,671",14.2,
เชยรใหญ,"15,861",90.42,"1,680",9.58,"14,948",88.15,"2,009",11.85,
ถาพรรณรา,"7,923",88.09,"1,071",11.91,"7,399",84.93,"1,313",15.07,
ทาศาลา,"35,982",82.82,"7,462",17.18,"33,928",80.74,"8,091",19.26,
ทง่สง,"60,592",88.68,"7,738",11.32,"57,207",85.93,"9,366",14.07,
จงหวด,อําเภอ/เขต,ประเดนท ่1 รํางรฐธรรมนูญ,ประเดนท ่2 คําถํามเพ่ิมเตม,,,,,,
,,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ
,ทง่ใหญ,"27,849",88.81,"3,508",11.19,"25,994",85.99,"4,234",14.01
,นบพตา,"11,403",82.17,"2,474",17.83,"10,579",79.09,"2,797",20.91
,นาบอน,"10,438",86.93,"1,570",13.07,"9,787",84.17,"1,840",15.83
,บางขน,"17,291",87.92,"2,375",12.08,"16,229",84.76,"2,917",15.24
,ปากพนง,"32,714",91.11,"3,193",8.89,"30,971",89.11,"3,784",10.89
,พรหมคีรี,"14,261",87.02,"2,127",12.98,"13,397",97.19,388,2.81
,พระพรหม,"16,740",88.85,"2,101",11.15,"15,540",86.58,"2,409",13.42
,พปน,"11,189",86.52,"1,744",13.48,"10,365",83.74,"2,013",16.26
,เมองนครศรีธรรมราช,"92,854",87.61,"13,130",12.39,"87,281",85.49,"14,811",14.51
,ร่อนพบลย,"28,325",88.97,"3,510",11.03,"26,899",87.09,"3,988",12.91
,ลานสกา,"17,016",89.98,"1,894",10.02,"15,963",87.57,"2,266",12.43
,สิชล,"33,127",88.64,"4,244",11.36,"31,025",85.94,"5,074",14.06
,หวไทร,"22,990",90.17,"2,505",9.83,"21,540",88.39,"2,829",11.61
,นอกเขตจงหวดั นครศรีธรรมราช,"1,151",80.43,280,19.57,"1,070",75.19,353,24.81
นครศรธรรมรําช ผลรวม,"559,689",88.05,"75,927",11.95,"526,123",85.93,"86,158",14.07,
นครสวรรค์,เกาเล้ียว,"9,075",59.26,"6,238",40.74,"8,032",56.06,"6,296",43.94
,โกรกพระ,"11,960",74.07,"4,186",25.93,"10,706",70.69,"4,438",29.31
,ชมตาบง,"3,825",59.06,"2,651",40.94,"3,355",57.03,"2,528",42.97
,ชมแสง,"16,841",62.56,"10,078",37.44,"14,845",58.94,"10,342",41.06
,ตากฟา,"13,330",74.99,"4,446",25.01,"12,115",72.42,"4,614",27.58
,ตาคลี,"29,180",70.98,"11,932",29.02,"26,569",68.28,"12,344",31.72
,ทาตะโก,"15,456",56.27,"12,010",43.73,"13,371",52.61,"12,045",47.39
,บรรพตพสัย,"22,177",62.34,"13,397",37.66,"19,538",59.1,"13,524",40.9
,พยหะคีรี,"19,335",69.32,"8,558",30.68,"17,000",64.76,"9,252",35.24
,ไพศาลี,"16,199",55.58,"12,947",44.42,"13,787",50.86,"13,323",49.14
,เมองนครสวรรค์,"76,430",74.9,"25,619",25.1,"70,383",71.63,"27,871",28.37
,แมเปน,"4,883",64.85,"2,647",35.15,"4,359",62.67,"2,596",37.33
,แมวงก,"12,199",68.69,"5,560",31.31,"10,747",65.25,"5,723",34.75
,ลาดยาว,"23,430",68.92,"10,567",31.08,"20,681",65.25,"11,016",34.75
,หนองบว,"13,997",55.25,"11,335",44.75,"12,092",51.95,"11,185",48.05
,นอกเขตจงหวดั นครสวรรค์,"1,076",78.2,300,21.8,984,71.88,385,28.12
นครสวรรค์ ผลรวม,"289,393",67.01,"142,471",32.99,"258,564",63.68,"147,482",36.32,
นนทบรี,ไทรนอย,"14,269",56.81,"10,849",43.19,"12,854",53.3,"11,263",46.7
,บางกรวย,"39,135",69.34,"17,304",30.66,"36,292",65.63,"19,008",34.37
,บางบวทอง,"74,414",67.18,"36,351",32.82,"68,734",63.83,"38,952",36.17
,บางใหญ,"40,634",67.95,"19,168",32.05,"37,303",64.07,"20,915",35.93
,ปากเกร็ด,"67,986",67.81,"32,272",32.19,"63,464",64.33,"35,183",35.67
,เมองนนทบรี,"103,460",67.99,"48,710",32.01,"96,407",64.38,"53,333",35.62
,นอกเขตจงหวดั นนทบรี,"3,873",67.84,"1,836",32.16,"3,553",62.38,"2,143",37.62
นนทบร ผลรวม,"343,771",67.37,"166,490",32.63,"318,607",63.8,"180,797",36.2,
นราธวิาส,จะแนะ,"3,098",22.36,"10,758",77.64,"3,098",23.11,"10,305",76.89
จงหวด,อําเภอ/เขต,ประเดนท ่1 รํางรฐธรรมนูญ,ประเดนท ่2 คําถํามเพ่ิมเตม,,,,,,
,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,
,เจาะไอร้อง,"3,865",27.67,"10,102",72.33,"3,656",27.05,"9,861",72.95
,ตากใบ,"10,868",40.15,"16,200",59.85,"10,382",39.5,"15,902",60.5
,บาเจาะ,"3,617",17.47,"17,085",82.53,"3,570",17.58,"16,738",82.42
,เมองนราธวิาส,"21,051",45.33,"25,393",54.67,"20,132",44.62,"24,987",55.38
,ยงอ,"4,998",26.14,"14,121",73.86,"4,696",25.32,"13,848",74.68
,ระแงะ,"10,961",29.24,"26,524",70.76,"10,200",28.24,"25,913",71.76
,รือเสาะ,"8,238",29.64,"19,551",70.36,"7,902",29.49,"18,892",70.51
,แวง้,"6,601",34.29,"12,647",65.71,"6,248",33.67,"12,307",66.33
,ศรีสาคร,"4,394",29.63,"10,436",70.37,"4,094",28.95,"10,048",71.05
,สุคิริน,"6,156",56.69,"4,704",43.31,"5,765",55.25,"4,669",44.75
,สุไหงโก-ลก,"13,358",50.88,"12,897",49.12,"12,663",49.4,"12,971",50.6
,สุไหงปาดี,"7,865",37.56,"13,075",62.44,"7,522",37.13,"12,738",62.87
,นอกเขตจงหวดั นราธวิาส,"4,278",89.03,527,10.97,"4,041",85.61,679,14.39
นรําธวําส ผลรวม,"109,348",36.04,"194,020",63.96,"103,969",35.38,"189,858",64.62,
นาน,เฉลิมพระเกยรติ,"2,931",58.64,"2,067",41.36,"2,349",54.01,"2,000",45.99
,เชยงกลาง,"7,431",55.04,"6,069",44.96,"6,256",49.91,"6,279",50.09
,ทาวงัผา,"10,728",45.7,"12,746",54.3,"9,185",41.62,"12,884",58.38
,ทง่ชาง,"4,232",50.41,"4,163",49.59,"3,470",44.4,"4,345",55.6
,นานอย,"9,026",53.95,"7,705",46.05,"7,758",48.87,"8,118",51.13
,นาหมน,"3,119",42.47,"4,225",57.53,"2,642",38.61,"4,200",61.39
,บอเกลือ,"4,015",59.13,"2,775",40.87,"3,108",53.03,"2,753",46.97
,บานหลวง,"2,890",51.11,"2,765",48.89,"2,407",47.03,"2,711",52.97
,ปว,"14,396",48.92,"15,033",51.08,"12,199",44.7,"15,091",55.3
,ภเพยง,"11,936",60.03,"7,949",39.97,"10,255",55.78,"8,129",44.22
,เมองนาน,"23,574",58.31,"16,853",41.69,"20,659",54.27,"17,410",45.73
,แมจริม,"3,832",51.42,"3,620",48.58,"3,387",48.19,"3,641",51.81
,เวยีงสา,"18,189",51.89,"16,862",48.11,"15,716",47.5,"17,369",52.5
,สองแคว,"2,273",49.99,"2,274",50.01,"1,640",40.24,"2,436",59.76
,สันติสุข,"3,218",46.19,"3,749",53.81,"2,692",42.34,"3,666",57.66
,นอกเขตจงหวดั นาน,352,63.54,202,36.46,305,54.95,250,45.05
น่ําน ผลรวม,"122,142",52.83,"109,057",47.17,"104,028",48.32,"111,282",51.68,
บงกาฬ,เซกา,"13,598",40.47,"20,002",59.53,"11,279",35.78,"20,243",64.22
โซ่พสัย,"10,168",38.75,"16,069",61.25,"8,620",35.11,"15,930",64.89,
บงโขงหลง,"5,187",35.95,"9,241",64.05,"4,264",32.11,"9,017",67.89,
บง่คล้า,"2,036",34.01,"3,950",65.99,"1,714",30.29,"3,945",69.71,
ปากคาด,"4,599",35.04,"8,525",64.96,"3,789",30.87,"8,485",69.13,
พรเจริญ,"7,027",41.68,"9,833",58.32,"5,959",37.71,"9,843",62.29,
เมองบงกาฬ,"15,708",40.3,"23,273",59.7,"13,034",35.5,"23,685",64.5,
ศรีวไิล,"6,956",42.23,"9,515",57.77,"5,890",38.04,"9,593",61.96,
นอกเขตจงหวดั บงกาฬ,573,68.62,262,31.38,497,60.17,329,39.83,
บงกําฬ ผลรวม,"65,852",39.55,"100,670",60.45,"55,046",35.26,"101,070",64.74,
จงหวด,อําเภอ/เขต,ประเดนท ่1 รํางรฐธรรมนูญ,ประเดนท ่2 คําถํามเพ่ิมเตม,,,,,,
,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,
บรีรัมย,กระสัง,"20,165",55.92,"15,895",44.08,"17,639",51.54,"16,587",48.46
,คูเมอง,"16,729",67.11,"8,198",32.89,"14,414",63.22,"8,386",36.78
,แคนดง,"7,081",57.44,"5,246",42.56,"5,933",52.94,"5,274",47.06
,เฉลิมพระเกยรติ,"8,202",53.73,"7,063",46.27,"7,159",50.56,"7,001",49.44
,ชาน,"6,785",52.06,"6,248",47.94,"5,771",48.32,"6,173",51.68
,นางรอง,"27,669",58.04,"20,002",41.96,"23,928",54.13,"20,280",45.87
,นาโพธ,"6,949",52.77,"6,219",47.23,"5,959",48.95,"6,214",51.05
,โนนดินแดง,"5,531",55.63,"4,412",44.37,"4,731",52.54,"4,273",47.46
,โนนสุวรรณ,"5,313",49.86,"5,342",50.14,"4,543",45.17,"5,515",54.83
,บานกรวด,"16,355",58.24,"11,726",41.76,"14,175",54.28,"11,939",45.72
,บานด่าน,"7,192",59.34,"4,928",40.66,"6,222",55.41,"5,007",44.59
,บานใหมไชยพจน,"6,259",57.72,"4,584",42.28,"5,530",54.36,"4,642",45.64
,ประโคนชย,"34,230",69.46,"15,047",30.54,"29,851",65.57,"15,673",34.43
,ปะคา,"8,957",49.77,"9,038",50.23,"7,683",45.96,"9,035",54.04
,พลับพลาชย,"10,247",67.91,"4,841",32.09,"9,085",64.44,"5,013",35.56
,พทไธสง,"9,236",48.17,"9,936",51.83,"8,029",44.47,"10,027",55.53
,เมองบรีรัมย,"60,080",67.11,"29,443",32.89,"53,238",63.54,"30,551",36.46
,ละหานทราย,"16,381",60.62,"10,640",39.38,"14,060",56.31,"10,907",43.69
,ลาปลายมาศ,"31,962",63.45,"18,414",36.55,"27,693",59.63,"18,752",40.37
,สตึก,"24,539",60.76,"15,845",39.24,"21,058",56.19,"16,419",43.81
,หนองก,"15,162",54.24,"12,793",45.76,"13,203",50.73,"12,825",49.27
,หนองหงส์,"9,875",51.03,"9,478",48.97,"8,647",47.08,"9,719",52.92
,หวยราช,"9,310",63.15,"5,432",36.85,"8,070",58.17,"5,802",41.83
,นอกเขตจงหวดั บรีรัมย,832,71.54,331,28.46,726,63.41,419,36.59
บรรมย ผลรวม,"365,041",60.22,"241,101",39.78,"317,347",56.29,"246,433",43.71,
ปทมธาน,คลองหลวง,"60,191",60.1,"39,968",39.9,"55,735",56.94,"42,152",43.06
,ธญับรี,"47,430",63.61,"27,135",36.39,"44,136",60.37,"28,970",39.63
,เมองปทมธาน,"54,281",66.7,"27,099",33.3,"50,258",63.33,"29,095",36.67
,ลาดหลุมแกว,"16,006",59.51,"10,889",40.49,"14,498",56.84,"11,010",43.16
,ลาลูกกา,"67,830",63.35,"39,238",36.65,"63,004",59.84,"42,275",40.16
,สามโคก,"15,533",65.52,"8,173",34.48,"13,987",61.79,"8,648",38.21
,หนองเสือ,"12,975",60.94,"8,318",39.06,"11,651",57.76,"8,519",42.24
,นอกเขตจงหวดั ปทมธาน,"4,019",56.47,"3,098",43.53,"3,661",51.72,"3,417",48.28
ปทมธํานี ผลรวม,"278,265",62.93,"163,918",37.07,"256,930",59.61,"174,086",40.39,
ประจวบคีรีขนธ,กยบรี,"16,674",83.02,"3,410",16.98,"15,456",80.5,"3,744",19.5
ทบสะแก,"17,147",82.87,"3,545",17.13,"16,190",80.48,"3,927",19.52,
บางสะพาน,"28,327",87.71,"3,971",12.29,"26,521",84.73,"4,780",15.27,
บางสะพานนอย,"15,437",90.33,"1,653",9.67,"14,565",87.76,"2,031",12.24,
ปราณบรี,"29,275",83.26,"5,886",16.74,"27,725",80.59,"6,676",19.41,
เมองประจวบคีรีขนธ,"28,387",82.51,"6,019",17.49,"26,520",79.87,"6,686",20.13,
สามร้อยยอด,"17,049",82.41,"3,640",17.59,"15,914",80.09,"3,957",19.91,
จงหวด,อําเภอ/เขต,ประเดนท ่1 รํางรฐธรรมนูญ,ประเดนท ่2 คําถํามเพ่ิมเตม,,,,,,
,,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ
,หวหน,"30,986",76.65,"9,437",23.35,"28,829",73.55,"10,368",26.45
,นอกเขตจงหวดั ประจวบคีรีขนธ,"3,079",79.5,794,20.5,"2,855",74.6,972,25.4
ประจวบคีรขนธ ผลรวม,"186,361",82.93,"38,355",17.07,"174,575",80.18,"43,141",19.82,
ปราจนบรี,กบนทร์บรี,"43,478",70.62,"18,090",29.38,"38,834",67.32,"18,849",32.68
,นาดี,"13,413",63.27,"7,785",36.73,"11,962",60.51,"7,808",39.49
,บานสร้าง,"9,675",66.75,"4,819",33.25,"8,586",62.4,"5,174",37.6
,ประจนตคาม,"17,992",71.45,"7,189",28.55,"16,140",68.61,"7,383",31.39
,เมองปราจนบรี,"36,072",72.31,"13,813",27.69,"32,905",69.2,"14,644",30.8
,ศรีมหาโพธ,"19,999",64.96,"10,787",35.04,"17,960",61.31,"11,336",38.69
,ศรีมโหสถ,"4,967",62.14,"3,026",37.86,"4,546",59.56,"3,086",40.44
,นอกเขตจงหวดั ปราจนบรี,"2,971",71.37,"1,192",28.63,"2,719",65.68,"1,421",34.32
ปรําจนบร ผลรวม,"148,567",69.01,"66,701",30.99,"133,652",65.72,"69,701",34.28,
ปตตาน,กะพอ,"1,488",20.25,"5,861",79.75,"1,398",19.48,"5,777",80.52
,โคกโพธ,"16,964",58.39,"12,088",41.61,"15,964",56.98,"12,054",43.02
,ทง่ยางแดง,"1,661",20.13,"6,591",79.87,"1,606",19.83,"6,493",80.17
,ปะนาเระ,"6,359",39.25,"9,843",60.75,"6,092",38.72,"9,643",61.28
,มายอ,"3,730",18.11,"16,864",81.89,"3,696",18.41,"16,378",81.59
,เมองปตตาน,"20,481",43.25,"26,877",56.75,"19,769",42.55,"26,691",57.45
,แมลาน,"3,575",49.87,"3,594",50.13,"3,366",48.33,"3,598",51.67
,ไมแกน,"1,903",35.85,"3,405",64.15,"1,810",34.91,"3,375",65.09
,ยะรัง,"5,848",19.78,"23,711",80.22,"5,620",19.56,"23,118",80.44
,ยะหร่ิง,"6,740",23.61,"21,805",76.39,"6,445",23.08,"21,479",76.92
,สายบรี,"6,649",25.35,"19,582",74.65,"6,407",25.02,"19,204",74.98
,หนองจก,"9,489",37.65,"15,715",62.35,"9,001",36.78,"15,470",63.22
,นอกเขตจงหวดั ปตตาน,"5,065",84.01,964,15.99,"4,802",80.42,"1,169",19.58
ปตตํานี ผลรวม,"89,952",35.02,"166,900",64.98,"85,976",34.33,"164,449",65.67,
พระนครศรีอยธยา,ทาเรือ,"13,976",63.76,"7,942",36.24,"12,569",60.39,"8,245",39.61
นครหลวง,"9,904",56.84,"7,519",43.16,"8,936",54.06,"7,594",45.94,
บางซ้าย,"4,150",50.85,"4,012",49.15,"3,615",46.72,"4,122",53.28,
บางไทร,"11,884",53.65,"10,266",46.35,"10,580",50.67,"10,300",49.33,
บางบาล,"9,303",59.03,"6,457",40.97,"8,414",56.11,"6,581",43.89,
บางปะหน,"10,830",55.37,"8,731",44.63,"9,535",52,"8,803",48,
บางปะอน,"29,924",65.78,"15,570",34.22,"27,231",62.3,"16,480",37.7,
บานแพรก,"2,550",57.73,"1,867",42.27,"2,284",55.09,"1,862",44.91,
ผักไห,"9,083",53.9,"7,768",46.1,"8,109",50.71,"7,883",49.29,
พระนครศรีอยธยา,"40,261",69.05,"18,045",30.95,"37,281",65.79,"19,382",34.21,
ภาช,"7,610",55.05,"6,215",44.95,"6,877",52.93,"6,116",47.07,
มหาราช,"6,784",58.47,"4,818",41.53,"6,159",55.55,"4,928",44.45,
ลาดบวหลวง,"8,843",52.71,"7,934",47.29,"7,948",50.05,"7,932",49.95,
วงันอย,"18,850",63.27,"10,944",36.73,"17,160",59.89,"11,492",40.11,
เสนา,"16,817",57.69,"12,334",42.31,"14,901",54.38,"12,500",45.62,
จงหวด,อําเภอ/เขต,ประเดนท ่1 รํางรฐธรรมนูญ,ประเดนท ่2 คําถํามเพ่ิมเตม,,,,,,
,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,เหนชอบ,รอยละ,ไมเหนชอบ,รอยละ,
,อทย,"13,183",58.41,"9,388",41.59,"11,940",55.43,"9,601",44.57
,นอกเขตจงหวดั พระนครศรีอยธยา,"2,326",70.06,994,29.94,"2,088",60.61,"1,357",39.39
พระนครศรอยธยํา ผลรวม,"216,278",60.57,"140,804",39.43,"195,627",57.4,"145,178",42.6,
พะเยา,จน,"9,072",39.61,"13,829",60.39,"7,595",36.22,"13,376",63.78
,เชยงคา,"16,337",46.07,"19,122",53.93,"13,917",42.18,"19,075",57.82
,เชยงมวน,"6,034",62.96,"3,550",37.04,"5,219",59.86,"3,500",40.14
,ดอกคาใต้,"14,962",43.48,"19,448",56.52,"12,943",40.33,"19,152",59.67
,ปง,"11,533",48.98,"12,013",51.02,"9,652",44.88,"11,853",55.12
,ภกามยาว,"4,059",38.61,"6,454",61.39,"3,309",35.28,"6,070",64.72
,ภซาง,"6,085",38.98,"9,526",61.02,"5,042",35.07,"9,334",64.93
,เมองพะเยา,"31,170",51.87,"28,924",48.13,"27,150",48.42,"28,927",51.58
,แมใจ,"8,858",50.75,"8,596",49.25,"7,632",47.47,"8,446",52.53
,นอกเขตจงหวดั พะเยา,"1,298",52.23,"1,187",47.77,"1,192",48.46,"1,268",51.54
พะเยํา ผลรวม,"109,408",47.15,"122,649",52.85,"93,651",43.63,"121,001",56.37,
พงงา,กะปง,"5,606",79.61,"1,436",20.39,"5,152",75.79,"1,646",24.21
,เกาะยาว,"5,253",85.37,900,14.63,"4,896",81.72,"1,095",18.28
,คุระบรี,"8,689",81.21,"2,010",18.79,"8,062",77.94,"2,282",22.06
,ตะกวทง่,"16,465",85.16,"2,870",14.84,"15,590",82.58,"3,289",17.42
,ตะกวปา,"16,617",82.03,"3,641",17.97,"15,654",79.44,"4,051",20.56
